Symbol, Underlying Index, Nearest Strike Price, Calls LTP Value, Put LTP Value, Sum of Call and Put LTP, % of Strike Price
ACC,1452.7,1460.0,37.25,40.8,78.05,5.3458905
ADANIENT,204.8,205.0,8.7,8.7,17.4,8.487805
ADANIPORTS,384.3,385.0,12.45,13.15,25.599998,6.64935
AMBUJACEM,199.95,200.0,5.5,5.15,10.65,5.325
APOLLOHOSP,1480.8,1480.0,45.0,37.1,82.1,5.5472975
APOLLOTYRE,163.0,165.0,4.6,7.3,11.9,7.212121
ASHOKLEY,81.75,82.5,2.85,3.6,6.45,7.818182
ASIANPAINT,1738.65,1740.0,43.0,41.7,84.7,4.867816
AUROPHARMA,452.0,450.0,20.0,16.65,36.65,8.144445
AXISBANK,733.9,730.0,24.1,18.0,42.1,5.767123
BAJAJ-AUTO,3039.0,3050.0,80.0,74.3,154.3,5.0590167
